Code;Libellé;Médiane du niveau de vie 2021
02106;Bourg-et-Comin;20250
02107;Bourguignon-sous-Coucy;N/A - résultat non disponible
02108;Bourguignon-sous-Montbavin;25450
02109;La Bouteille;20990
02110;Braine;20580
02111;Brancourt-en-Laonnois;23310
02112;Brancourt-le-Grand;22020
02114;Brasles;22080
02115;Braye-en-Laonnois;22290
02116;Braye-en-Thiérache;21300
02117;Bray-Saint-Christophe;N/A - résultat non disponible
02118;Braye;22420
02119;Brécy;23500
02120;Brenelle;22100
02121;Breny;21500
02122;Brie;N/A - résultat non disponible
02123;Brissay-Choigny;22810
02124;Brissy-Hamégicourt;21140
02125;Brumetz;23200
02126;Brunehamel;17550
02127;Bruyères-sur-Fère;20700
02128;Bruyères-et-Montbérault;23910
02129;Bruys;N/A - résultat non disponible
02130;Bucilly;19480
02131;Bucy-le-Long;23900
02132;Bucy-lès-Cerny;24200
02133;Bucy-lès-Pierrepont;19120
02134;Buire;21200
02135;Buironfosse;19400
02136;Burelles;23000
02137;Bussiares;23060
02138;Buzancy;25330
02139;Caillouël-Crépigny;23580
02140;Camelin;20540
02141;La Capelle;18690
02142;Castres;26180
02143;Le Catelet;20010
02144;Caulaincourt;24290
02145;Caumont;23920
02146;Celles-lès-Condé;N/A - résultat non disponible
02148;Celles-sur-Aisne;22490
02149;Cerizy;N/A - résultat non disponible
02150;Cerny-en-Laonnois;N/A - résultat non disponible
02151;Cerny-lès-Bucy;N/A - résultat non disponible
02152;Cerseuil;N/A - résultat non disponible
02153;Cessières-Suzy;23530
02154;Chacrise;22240
02155;Chaillevois;24300
02156;Chalandry;20700
02157;Chambry;22440
02158;Chamouille;21760
02159;Champs;20810
02160;Chaourse;19710
02162;La Chapelle-sur-Chézy;23470
02163;Charly-sur-Marne;21500
02164;Le Charmel;22620
02165;Charmes;20900
02166;Chartèves;24770
02167;Chassemy;23340
02168;Château-Thierry;19150
02169;Châtillon-lès-Sons;N/A - résultat non disponible
02170;Châtillon-sur-Oise;24780
02171;Chaudardes;24500
02172;Chaudun;24190
02173;Chauny;18580
02174;Chavignon;22600
02175;Chavigny;21230
02176;Chavonne;20760
02177;Chérêt;23250
02178;Chermizy-Ailles;22740
02179;Chéry-Chartreuve;23450
02180;Chéry-lès-Pouilly;22150
02181;Chéry-lès-Rozoy;N/A - résultat non disponible
02182;Chevennes;20280
02183;Chevregny;24510
02184;Chevresis-Monceau;21220
02185;Chézy-en-Orxois;23140
02186;Chézy-sur-Marne;24080
02187;Chierry;24590
02188;Chigny;20520
02189;Chivres-en-Laonnois;20150
02190;Chivres-Val;22790
02191;Chivy-lès-Étouvelles;22990
02192;Chouy;22180
02193;Cierges;N/A - résultat non disponible
02194;Cilly;19560
02195;Ciry-Salsogne;24060
02196;Clacy-et-Thierret;25390
02197;Clairfontaine;23510
02198;Clamecy;23230
02199;Clastres;21930
